session;created;modified;ended;expired;datenschutz;tfe_tfe_01;tfe_tfe_02;tfe_tfe_03;tfe_tfe_04;tfe_tfe_05;tfe_tfe_06;tfe_tfe_07;tfe_tfe_08;tfe_tfe_09;tfe_tfe_10;tfe_tfe_11;tfe_tfe_12;tfe_did_01;tfe_did_02;tfe_did_03;tfe_did_04;tfe_did_05;tfe_did_06;tfe_did_07;tfe_did_08;tfe_did_09;tfe_did_10;tfo_tfo_01;tfo_tfo_02;tfo_tfo_03;tfo_tfo_04;tfo_tfo_05;tfo_tfo_06;tfo_tfo_07;tfo_tfo_08;tfo_tfo_09;tfo_sel_01;tfo_sel_02;tfo_sel_03;tfo_sel_04;tfo_sel_05;tfo_sel_06;tfo_sel_07;tfo_sel_08;tfo_sel_09;tfo_enr_01;tfo_enr_02;tfo_enr_03;tfo_enr_04;tfo_enr_05;tfo_enr_06;tfo_enr_07;tfo_enr_08;tfo_enr_09;tfo_ada_01;tfo_ada_02;tfo_ada_03;tfo_ada_04;tfo_ada_05;tfo_ada_06;tfo_ada_07;tfo_ada_08;tfo_ada_09;rel_rel_01;rel_rel_02;rel_rel_03;rel_rel_04;rel_rel_05;rel_rel_06;rel_rel_07;rel_rel_08;rel_rel_09;standort;standort_other;semester;lehramt;lehramt_other;fach;fach_other
famousCentipedeXXXRZCiXcWlbmkFTj8XS8avzo60EMOH1IC8X3ro1-OkBmmByK;15.01.2019 12:36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tGpQNl2VPfGqGcPgL81KNYGQtUpfy8ts-KYO3i2BvWM4-eoWEl8V1HLnPCQbKIa5;25.01.2019 07:56;25.01.2019 08:08;25.01.2019 08:08;;1;3;1;1;1;1;2;2;2;2;3;1;4;3;1;2;2;2;3;5;5;3;2;1;5;1;1;3;3;6;5;4;5;5;5;3;5;3;2;2;5;6;4;3;3;6;4;6;5;5;4;4;5;4;4;2;3;5;6;4;5;6;6;6;6;3;5;5;2;;50;5;;51;
tGpQNl2VPfGqGcPgL81KNYGQtUpfy8ts-KYO3i2BvWM4-eoWEl8V1HLnPCQbKIa5;28.01.2019 08:43;28.01.2019 08:43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUP34EkrMGLOQfODz5jogoCK2W9FieYH_E4v4WjoHuQ9uKxHBeDsjVW2AnV_a-K9;28.01.2019 08:52;28.01.2019 09:48;28.01.2019 09:48;;1;3;3;5;4;2;5;5;5;5;5;2;2;5;4;5;4;4;3;4;5;4;5;5;4;4;5;5;3;5;4;6;5;4;5;4;4;4;5;5;5;5;5;5;5;5;5;4;4;5;4;4;5;4;5;5;3;4;4;2;4;5;2;2;5;2;6;5;2;;7;5;;51;
DN2yhqvUMXnhX3MLB1j8jH3BK-MtCJ6z5zW17cBozJaYYGH1u5qYLyrTq6LArVHP;28.01.2019 08:56;28.01.2019 15:59;28.01.2019 15:59;;1;2;2;2;2;2;1;2;1;1;1;5;5;2;4;2;4;2;5;6;6;3;1;4;5;3;3;5;5;2;6;2;4;6;4;5;4;5;5;4;4;2;2;4;2;6;5;1;5;2;4;3;2;4;4;5;4;5;2;4;6;5;2;2;3;2;6;4;2;;5;5;;51;
xvCLhUX7vWHfOy1lelUiJrSOVDFH3LsayYOJZKwJuycz9Z0fyL3tnJNnDgu6RBNh;28.01.2019 08:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cW3I_J9jvJ6bX031wR2ZwtbrOLTha96asb1AJaT7WQZXTZiVs1PfEVjYGLHD8GHA;28.01.2019 08:58;28.01.2019 09:10;28.01.2019 09:10;;1;4;2;2;4;2;2;4;3;2;2;3;3;4;3;4;4;3;5;5;6;5;3;5;6;4;5;5;5;5;6;5;6;5;5;5;5;5;5;4;4;6;6;6;6;6;6;6;6;5;6;6;4;5;5;4;6;5;4;5;6;6;6;2;6;2;4;5;2;;5;5;;51;
UCMuEvZUyuT0Tr23drM8PRuQB1DOELnVR0BksZgBhEcpGaRWcuDYstftaYGCGYWL;28.01.2019 08:59;28.01.2019 09:16;28.01.2019 09:16;;1;;3;3;3;2;3;4;4;3;4;3;4;4;3;5;5;4;3;4;5;5;2;;;3;4;;;5;5;3;4;4;4;5;;5;5;5;3;4;4;5;4;3;5;4;4;;4;4;4;5;6;3;3;2;4;3;4;5;4;4;4;3;5;5;2;;6;5;;51;
fJOzWOnoSY89byVJg_SzvvxVRlf-X-b2Q5x-nAMTIVT04Qi9pJF5Itnqjt7z0ECt;28.01.2019 10:24;28.01.2019 12:08;28.01.2019 12:08;;1;3;4;4;4;2;3;2;5;4;3;2;5;5;4;4;4;3;5;5;5;5;6;5;5;2;4;5;4;5;5;5;5;5;4;4;4;6;4;3;5;6;4;4;4;4;4;4;3;6;4;3;3;3;4;4;4;5;4;5;6;5;4;2;6;5;6;4;2;;9;5;;51;
mg72_iy69iz6IuWj4LR_kYCDScuymyxSRdpraCsIAw1jQBOU9g5xB8WC47jB1jTJ;28.01.2019 10:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
