session;created;modified;ended;expired;datenschutz;flen_AN1;flen_UM1;flen_AN2;flen_UM2;flen_WI1;flen_AN3;flen_UM3;flen_WI2;flen_AN4;flen_UM4;flen_WI3;tc_st;tc_sr;tfe_1_st;tfe_2_st;tfe_3_st;tfe_4_st;tfe_5_st;sel_1_st;sel_2_st;sel_3_st;sel_4_st;sel_5_st;enr_1_st;enr_2_st;enr_3_st;enr_4_st;enr_5_st;rel_1_st;rel_2_st;rel_3_st;rel_4_st;tfe_1_sr;tfe_2_sr;tfe_3_sr;tfe_4_sr;tfe_5_sr;sel_1_sr;sel_2_sr;sel_3_sr;sel_4_sr;sel_5_sr;enr_1_sr;enr_2_sr;enr_3_sr;enr_4_sr;enr_5_sr;rel_1_sr;rel_2_sr;rel_3_sr;rel_4_sr;standort;standort_other;semester;lehramt;lehramt_other;fach;fach_other
XDZQglOxXbRkcDTlI9LlBikBi6-9GBLj3Hf00L3BWvC5Cft2XeZpnWX1cVN5YoZv;23.05.2019 18:02;24.05.2019 12:52;NA;NA;1;4;4;4;4;4;4;4;1;4;4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CRTV4hmEOus1xRjsOmy1_aNVzZdgPr_XUQNLWSVvNAszZFfOsWj18lOXRVkiXPbW;23.05.2019 18:03;24.05.2019 09:56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NIrIxHBT8zEsJHSNhYw7Z6j0Wk9uQkSFK2Gcicx_YGDi-4DWW0d-OCzkDCQKys9T;23.05.2019 18:05;23.05.2019 18:21;23.05.2019 18:21;NA;1;4;4;4;3;3;4;4;1;4;4;2;2;1;2;2;3;3;1;3;5;3;3;2;5;3;3;3;6;4;3;4;4;2;2;3;4;NA;3;4;3;3;3;4;3;4;NA;4;3;4;3;3;1;NA;6;1;NA;40, 44;NA
mNrtDWcuw5luY_7q6yvZ52nt1GDbGjrlEOvH6eMKY8_gjw8v4Rvy-uZIHonGpBP_;23.05.2019 18:05;23.05.2019 18:14;23.05.2019 18:14;NA;1;4;4;4;3;3;4;2;1;4;3;3;2;2;2;2;4;3;4;6;4;5;5;5;5;4;5;4;6;5;5;5;5;5;5;5;2;5;5;5;5;4;4;4;3;4;5;5;5;4;3;4;1;NA;8;1;NA;4, 12, 46;NA
2tY9wpov5oraRbGI7Ux9V6r8qCPhSEUp0kfElBmVtfocOMXWTy5eIKvYe0qQDH6M;23.05.2019 18:07;23.05.2019 18:08;NA;NA;1;4;2;4;1;2;4;3;3;2;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Qe3VFctVQKkR-92IiIErCrCR7wT6h7la9HftyhwrzorEhde8eK0lDJ6ZZdnyfxvz;23.05.2019 18:07;23.05.2019 18:09;NA;NA;1;4;3;2;3;3;3;3;1;3;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TG5hX9-_KbewqKl8IUL_myYG2aSy79Bb3YZqxZbTGUeSJ_D7UewL3y2YBgCMlqcV;23.05.2019 18:07;23.05.2019 18:22;23.05.2019 18:22;NA;1;4;4;4;3;2;4;4;1;4;4;1;2;1;6;5;2;3;2;2;6;5;4;4;4;5;4;5;4;5;6;6;6;3;3;2;4;1;4;6;4;4;4;5;4;4;4;5;6;6;5;6;1;NA;6;1;NA;4, 35, 40;NA
nO9EG4tdLBTST4OVFvJqbL5cEjn9_Wj-bY_uAqvgr7h3Cgn55J8wtl-7n32bOYCs;23.05.2019 18:12;23.05.2019 18:13;NA;NA;1;4;2;4;1;3;4;4;3;4;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TVlqFVua5LMVW1rqRUBpktRx9x4VZhNp3FFUCguJaEff45_n7ZEtRZm0PYUN6P_Q;23.05.2019 18:14;23.05.2019 18:15;NA;NA;1;4;3;3;1;2;3;2;2;4;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mNrtDWcuw5luY_7q6yvZ52nt1GDbGjrlEOvH6eMKY8_gjw8v4Rvy-uZIHonGpBP_;23.05.2019 18:14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_T1Q9xuUs5a-Jv78V1jhcPv_yp8c1Cn1MtbtqtIz6QyegjmlEWwCGVFwAGhdZ8yO;23.05.2019 18:14;23.05.2019 18:25;NA;NA;1;3;3;3;3;2;3;3;2;3;3;2;2;2;3;4;2;5;3;4;3;4;3;4;3;3;4;3;3;5;3;4;4;2;4;2;4;3;4;4;4;4;4;3;4;4;4;3;3;4;3;5;2;NA;4;5;NA;51;NA
fX_rk0b09VTaSfSsT128ROCNLefTwPSzB_LwwHxFlFzy2KX0rxSQJeAF6k2IPGNr;23.05.2019 18:23;23.05.2019 18:27;23.05.2019 18:27;NA;1;3;3;3;3;3;3;3;3;3;3;3;2;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;NA;6;1;NA;15, 39;NA
2zR602w7T-fLSYFTujiseviERSPyiaCgcV6L6H6Q6YM2Go97RX_r2ZOvgXw9q-SO;23.05.2019 18:24;23.05.2019 18:24;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
nibX4y28OmDK-ldfWCmptVBNpWGfAhlZ46c4v1ed4wZCSW535zT79R3SlYco4Eqt;23.05.2019 18:26;25.05.2019 22:26;NA;NA;1;4;3;4;1;4;4;2;2;4;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jg4QLbjUQxc3YX06jA20v-BtcWYAAWLOwdhcw2UqyD4zOoOeyesK6H_1CoaNmQrA;23.05.2019 18:34;23.05.2019 18:41;NA;NA;1;3;3;4;3;3;4;4;2;4;4;2;2;NA;3;2;1;2;2;3;6;5;3;3;4;5;5;5;5;5;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
